layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5041322314049587,0.0,0.0,0.3200336992740631,-0.40537747740745544
1,0.5785123966942148,0.48623332381248474,0.37650126218795776,0.8098278045654297,-0.1745699644088745
2,0.5785123966942148,0.2897123098373413,0.3644882142543793,0.8149183392524719,-0.16934171319007874
3,0.5702479338842975,0.18936285376548767,0.16314032673835754,0.8156089782714844,-0.18441078066825867
4,0.5619834710743802,0.11974284797906876,0.13523755967617035,0.8000150322914124,-0.19432975351810455
5,0.5206611570247934,0.0891454741358757,0.23185758292675018,0.8026482462882996,-0.26899453997612
6,0.578512396694215,0.12666729092597961,0.21371716260910034,0.5998234152793884,-0.13655796647071838
7,0.6776859504132231,0.09997601807117462,0.22276274859905243,0.6478369235992432,-0.1921791285276413
8,0.6033057851239669,0.08856264501810074,0.1916383057832718,0.7788124084472656,-0.15712565183639526
9,0.5619834710743802,0.12508752942085266,-0.018051546066999435,0.9638537764549255,-0.20826536417007446
10,0.5289256198347108,0.12867076694965363,0.005415299907326698,0.923721194267273,-0.15703698992729187
11,0.7768595041322314,0.09106171131134033,0.19891062378883362,0.5920752882957458,-0.19682848453521729
12,0.8016528925619835,0.10440726578235626,0.1216408908367157,0.5492965579032898,-0.155472069978714
13,0.7603305785123967,0.11083442717790604,0.19550146162509918,0.5058290958404541,-0.26173290610313416
14,0.5206611570247934,0.08535397797822952,-0.041665855795145035,0.9666760563850403,-0.16663900017738342
15,0.6611570247933884,0.1393556296825409,0.09428174793720245,0.638808012008667,0.1163540929555893
16,0.6446280991735538,0.14843933284282684,-0.008333323523402214,0.6331350207328796,0.04355904459953308
